Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 6.5
""
Время, с;Тв, С;Тст, С
1097;768;701.0041086899839
1098;768;701.2838962575423
1099;768;701.5631750638789
1100;768;701.8419462240627
1101;769;702.1202108517869
1102;769;702.3979700593628
1103;769;702.6752249577142
1104;769;702.9519766563711
1105;769;703.2282262634642
1106;769;703.503974885719
1107;769;703.7792236284505
1108;769;704.0539735955568
1109;770;704.3282258895144
1110;770;704.6019816113719
1111;770;704.8752418607452
1112;770;705.1480077358113
1113;770;705.4202803333039
1114;770;705.6920607485072
1115;770;705.963350075251
1116;771;706.2341494059058
1117;771;706.504459831377
1118;771;706.7742824411001
1119;771;707.0436183230361
1120;771;707.3124685636656
1121;771;707.5808342479845
1122;771;707.8487164594991
1123;771;708.1161162802207
1124;772;708.3830347906614
1125;772;708.6494730698291
1126;772;708.9154321952228
1127;772;709.1809132428281
1128;772;709.4459172871123
1129;772;709.71044540102
