Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 4.8
""
Время, с;Тв, С;Тст, С
1013;756;711.3423648148495
1014;756;711.5938802333886
1015;756;711.8448918919806
1016;757;712.0954013232115
1017;757;712.3454100555309
1018;757;712.5949196132556
1019;757;712.843931516571
1020;757;713.092447281535
1021;757;713.3404684200797
1022;757;713.587996440015
1023;758;713.8350328450314
1024;758;714.0815791347027
1025;758;714.3276368044892
1026;758;714.5732073457413
1027;758;714.8182922457019
1028;758;715.0628929875104
1029;758;715.3070110502058
1030;759;715.5506479087302
1031;759;715.7938050339321
1032;759;716.0364838925703
1033;759;716.2786859473174
1034;759;716.5204126567633
1035;759;716.7616654754192
1036;759;717.002445853722
1037;760;717.2427552380367
1038;760;717.4825950706621
1039;760;717.7219667898337
1040;760;717.9608718297283
1041;760;718.1993116204678
1042;760;718.437287588124
1043;760;718.6748011547224
1044;761;718.9118537382468
1045;761;719.1484467526435
1046;761;719.3845816078259
1047;761;719.6202597096792
1048;761;719.8554824600646
1049;761;720.0902512568246
1050;761;720.3245674937867
1051;762;720.5584325607693
1052;762;720.7918478435857
1053;762;721.0248147240494
1054;762;721.2573345799786
1055;762;721.4894087852018
1056;762;721.7210387095624
1057;762;721.9522257189238
1058;763;722.1829711751749
1059;763;722.4132764362347
1060;763;722.6431428560583
1061;763;722.8725717846414
1062;763;723.1015645680264
1063;763;723.3301225483073
1064;763;723.5582470636351
1065;764;723.7859394482239
1066;764;724.0132010323557
1067;764;724.2400331423866
1068;764;724.4664371007519
1069;764;724.6924142259724
1070;764;724.9179658326593
1071;764;725.1430932315211
1072;765;725.3677977293682
1073;765;725.5920806291199
1074;765;725.8159432298092
1075;765;726.0393868265899
1076;765;726.2624127107414
1077;765;726.485022169676
1078;765;726.7072164869438
1079;766;726.9289969422397
1080;766;727.150364811409
1081;766;727.3713213664538
1082;766;727.5918678755396
1083;766;727.8120056030008
1084;766;728.0317358093477
1085;766;728.2510597512724
1086;766;728.4699786816556
1087;767;728.6884938495726
1088;767;728.9066065003003
1089;767;729.1243178753231
1090;767;729.3416292123397
1091;767;729.5585417452701
1092;767;729.7750567042613
1093;767;729.9911753156947
1094;768;730.2068988021925
1095;768;730.4222283826243
1096;768;730.6371652721141
1097;768;730.8517106820468
1098;768;731.0658658200753
1099;768;731.2796318901269
1100;768;731.4930100924106
1101;769;731.7060016234238
1102;769;731.9186076759593
1103;769;732.130829439112
1104;769;732.3426680982861
1105;769;732.5541248352025
1106;769;732.7652008279049
1107;769;732.9758972507676
1108;769;733.1862152745024
1109;770;733.3961560661656
1110;770;733.6057207891655
1111;770;733.814910603269
1112;770;734.0237266646093
1113;770;734.2321701256928
1114;770;734.4402421354068
1115;770;734.6479438390262
1116;771;734.855276378221
1117;771;735.0622408910638
1118;771;735.2688385120368
1119;771;735.4750703720398
1120;771;735.6809375983967
1121;771;735.8864413148635
1122;771;736.0915826416358
1123;771;736.2963626953558
1124;772;736.5007825891201
1125;772;736.7048434324871
1126;772;736.9085463314844
1127;772;737.1118923886166
1128;772;737.3148827028726
1129;772;737.5175183697332
1130;772;737.7198004811789
